*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=15:57:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
225;;;36.8554;-1.7018;0;Bottom;Copper Fill127
226;;;95.25;-16.6878;0;Bottom;Copper Fill22
227;;;49.9618;-12.9413;0;Bottom;Copper Fill206
228;;;32.4612;-12.9413;0;Bottom;Copper Fill202
229;;;18.9865;-29.9466;0;Bottom;Copper Fill86
230;;;95.25;-21.7678;0;Bottom;Copper Fill114
231;;;2.6162;-45.9613;0;Bottom;Copper Fill156
232;100;0603 [SMD];22.8641;-14.9954;-90;Top;R36
233;0.1µF;0603 [SMD, multilayer];43.8539;-22.6029;-90;Top;C56
234;;;95.25;-37.0078;0;Bottom;Copper Fill14
235;;;39.3954;-1.7018;0;Bottom;Copper Fill128
236;;THT;58.6508;-8.55593;90;Bottom;J25
237;;;28.321;-21.8313;0;Bottom;Copper Fill172
238;;;87.9348;-28.1305;0;Bottom;Copper Fill178
239;;THT;40.2911;-8.5574;90;Bottom;J24
240;;;74.041;-25.5905;0;Bottom;Copper Fill189
241;;;57.1754;-1.7018;0;Bottom;Copper Fill133
242;;;28.321;-19.6977;0;Bottom;Copper Fill160
243;;;54.6141;-16.6854;0;Bottom;Via10
244;;;95.25;-29.3878;0;Bottom;Copper Fill102
245;;;15.6718;-38.3413;0;Bottom;Copper Fill197
246;;;36.068;-48.4886;0;Bottom;Copper Fill3
247;;;18.4912;-29.4513;0;Bottom;Copper Fill214
248;;THT;35.5641;-43.3554;0;Bottom;J19
249;;;25.4041;-21.7654;0;Bottom;Via17
250;;;56.4388;-4.6736;0;Bottom;Copper Fill27
251;;;74.9554;-1.7018;0;Bottom;Copper Fill138
252;;;77.4741;-21.7654;0;Bottom;Via20
253;;;41.9141;-21.7654;0;Bottom;Via18
254;;;30.988;-48.4886;0;Bottom;Copper Fill1
255;;;33.528;-48.4886;0;Bottom;Copper Fill2
256;;;3.3274;-24.9301;0;Bottom;Copper Fill183
257;47µF;D 7343 [SMD, tantalum];19.0541;-35.1254;90;Top;C45
258;;;26.416;-12.0904;0;Bottom;Copper Fill118
259;;;95.25;-14.1478;0;Bottom;Copper Fill24
260;10µF;A 3216 [SMD, tantalum];67.3141;-16.8154;90;Top;C62
261;;;38.8874;-20.4978;0;Bottom;Copper Fill116
262;;;95.25;-19.2278;0;Bottom;Copper Fill21
263;;;29.2354;-1.7018;0;Bottom;Copper Fill124
264;;;32.4612;-12.9413;0;Bottom;Copper Fill78
265;;;70.048;-38.9612;0;Bottom;TXT7
266;;;97.3074;-7.8613;0;Bottom;Copper Fill149
267;;;85.1154;-1.7018;0;Bottom;Copper Fill48
268;;;26.3525;-51.8668;0;Bottom;Copper Fill152
269;10µF;A 3216 [SMD, tantalum];85.0941;-16.8154;90;Top;C67
270;10µF;A 3216 [SMD, tantalum];49.5341;-16.8154;90;Top;C57
271;;;34.3154;-1.7018;0;Bottom;Copper Fill32
272;;;64.7954;-1.7018;0;Bottom;Copper Fill136
